participantID,SessionType,SessionNum,CondNum,ReleMode
1,training,1,1,1
1,training,2,1,1
1,ids1,1,2,1
1,staircase1,1,3,1
1,staircase1,2,3,1
1,ams1,1,4,1
1,ams1,2,4,1
1,eds1,1,5,0
1,ids2,1,6,0
1,ids2,2,6,0
1,staircase2,1,7,0
1,ams2,1,8,0
1,ams2,2,8,0
1,eds2,1,9,1
2,training,1,1,0
2,training,2,1,0
2,training,3,1,0
2,training,4,1,0
2,training,5,1,0
2,training,6,1,0
2,training,7,1,0
2,training,8,1,0
2,training,9,1,0
2,ids1,1,2,0
2,staircase1,1,3,0
2,staircase1,2,3,0
2,ams1,1,4,0
2,ams1,2,4,0
2,eds1,1,5,1
2,ids2,1,6,1
2,staircase2,1,7,1
2,ams2,1,8,1
2,ams2,2,8,1
2,eds2,1,9,0
3,training,1,1,1
3,ids1,1,2,1
3,staircase1,1,3,1
3,staircase1,2,3,1
3,ams1,1,4,1
3,ams1,2,4,1
3,eds1,1,5,0
3,ids2,1,6,0
3,ids2,2,6,0
3,staircase2,1,7,0
3,staircase2,2,7,0
3,ams2,1,8,0
3,ams2,2,8,0
3,eds2,1,9,1
4,training,1,1,0
4,training,2,1,0
4,ids1,1,2,0
4,staircase1,1,3,0
4,staircase1,2,3,0
4,ams1,1,4,0
4,ams1,2,4,0
4,eds1,1,5,1
4,ids2,1,6,1
4,staircase2,1,7,1
4,staircase2,2,7,1
4,ams2,1,8,1
4,ams2,2,8,1
4,eds2,1,9,0
5,training,1,1,0
5,training,2,1,0
5,ids1,1,2,0
5,staircase1,1,3,0
5,staircase1,2,3,0
5,ams1,1,4,0
5,ams1,2,4,0
5,eds1,1,5,1
5,ids2,1,6,1
5,staircase2,1,7,1
5,staircase2,2,7,1
5,ams2,1,8,1
5,ams2,2,8,1
5,eds2,1,9,0
6,training,1,1,1
6,ids1,1,2,1
6,staircase1,1,3,1
6,staircase1,2,3,1
6,ams1,1,4,1
6,ams1,2,4,1
6,eds1,1,5,0
6,ids2,1,6,0
6,staircase2,1,7,0
6,staircase2,2,7,0
6,ams2,1,8,0
6,ams2,2,8,0
6,eds2,1,9,1
7,training,1,1,0
7,training,2,1,0
7,training,3,1,0
7,ids1,1,2,0
7,staircase1,1,3,0
7,staircase1,2,3,0
7,ams1,1,4,0
7,ams1,2,4,0
7,eds1,1,5,1
7,ids2,1,6,1
7,staircase2,1,7,1
7,staircase2,2,7,1
7,ams2,1,8,1
7,ams2,2,8,1
7,eds2,1,9,0
8,training,1,1,1
8,ids1,1,2,1
8,staircase1,1,3,1
8,staircase1,2,3,1
8,ams1,1,4,1
8,ams1,2,4,1
8,eds1,1,5,0
8,ids2,1,6,0
8,staircase2,1,7,0
8,staircase2,2,7,0
8,ams2,1,8,0
8,ams2,2,8,0
8,eds2,1,9,1
9,training,1,1,1
9,ids1,1,2,1
9,staircase1,1,3,1
9,staircase1,2,3,1
9,ams1,1,4,1
9,ams1,2,4,1
9,eds1,1,5,0
9,ids2,1,6,0
9,staircase2,1,7,0
9,staircase2,2,7,0
9,ams2,1,8,0
9,ams2,2,8,0
9,eds2,1,9,1
10,training,1,1,0
10,ids1,1,2,0
10,staircase1,1,3,0
10,staircase1,2,3,0
10,ams1,1,4,0
10,ams1,2,4,0
10,eds1,1,5,1
10,ids2,1,6,1
10,staircase2,1,7,1
10,staircase2,2,7,1
10,ams2,1,8,1
10,ams2,2,8,1
10,eds2,1,9,0
11,training,1,1,0
11,training,2,1,0
11,training,3,1,0
11,training,4,1,0
11,training,5,1,0
11,training,6,1,0
11,ids1,1,2,0
11,staircase1,1,3,0
11,staircase1,2,3,0
11,ams1,1,4,0
