ratID,SessionType,SessionNum,CondNum,ReleMode
4151,IDS_BL_Easy,1,1,1
4151,IDS_BL_Easy,2,1,1
4151,IDS,1,2,1
4151,IDS,2,2,1
4151,IDS,3,2,1
4151,IDS,4,2,1
4151,IDS,5,2,1
4151,IDS,7,2,1
4151,RE,1,3,1
4151,Stair,1,4,1
4151,Stair,2,4,1
4151,Stair,3,4,1
4151,EDS_BL_Easy,1,5,1
4151,EDS_BL_Easy,2,5,1
4151,EDS,1,6,1
4151,EDS,2,6,0
4151,EDS,3,6,0
4151,EDS,4,6,0
4151,EDS,5,6,0
4151,EDS,6,6,0
4151,EDS,7,6,0
4151,EDS,8,6,0
4151,IDS_BL_Easy,1,7,0
4151,IDS_BL_Easy,2,7,0
4151,IDS,1,8,0
4151,IDS,2,8,0
4151,IDS,3,8,0
4151,RE,1,9,0
4151,Stair,1,10,0
4151,Stair,2,10,0
4151,Stair,3,10,0
4151,EDS_BL_Hard,1,11,0
4151,EDS_BL_Hard,2,11,0
4151,EDS,1,12,0
4151,EDS,2,12,1
4151,EDS,3,12,1
4151,EDS,4,12,1
4151,EDS,5,12,1
4151,EDS,6,12,1
4151,EDS,7,12,1
4151,EDS,8,12,1
4151,EDS,9,12,1
4151,RE,1,13,1
4151,RE,1,14,1
4152,IDS_BL_Easy,1,1,1
4152,IDS_BL_Easy,2,1,1
4152,IDS,1,2,1
4152,IDS,2,2,1
4152,IDS,3,2,1
4152,IDS,4,2,1
4152,IDS,5,2,1
4152,IDS,6,2,1
4152,RE,1,3,1
4152,Stair,1,4,1
4152,Stair,2,4,1
4152,Stair,3,4,1
4152,EDS_BL_Hard,1,5,1
4152,EDS_BL_Hard,2,5,1
4152,EDS,1,6,1
4152,EDS,2,6,0
4152,EDS,3,6,0
4152,EDS,4,6,0
4152,EDS,5,6,0
4152,EDS,6,6,0
4152,IDS_BL_Easy,1,7,0
4152,IDS_BL_Easy,2,7,0
4152,IDS,1,8,0
4152,IDS,2,8,0
4152,RE,1,9,0
4152,Stair,1,10,0
4152,Stair,2,10,0
4152,EDS_BL_Easy,1,11,0
4152,EDS_BL_Easy,2,11,0
4152,EDS,1,12,0
4152,EDS,2,12,1
4152,EDS,3,12,1
4152,EDS,4,12,1
4152,EDS,5,12,1
4152,EDS,6,12,1
4152,RE,1,13,1
4152,RE,1,14,1
4154,IDS_BL_Easy,1,1,0
4154,IDS_BL_Easy,2,1,0
4154,IDS,1,2,0
4154,IDS,2,2,0
4154,RE,1,3,0
4154,Stair,1,4,0
4154,Stair,2,4,0
4154,Stair,3,4,0
4154,EDS_BL_Hard,1,5,0
4154,EDS_BL_Hard,2,5,0
4154,EDS,1,6,0
4154,EDS,2,6,1
4154,EDS,3,6,1
4154,EDS,4,6,1
4154,IDS_BL_Easy,1,7,1
4154,IDS_BL_Easy,2,7,1
4154,IDS,1,8,1
4154,IDS,2,8,1
4154,IDS,3,8,1
4154,IDS,4,8,1
4154,IDS,5,8,1
4154,IDS,6,8,1
4154,IDS,7,8,1
4154,IDS,8,8,1
4154,IDS,9,8,1
4154,RE,1,9,1
4154,Stair,1,10,1
4154,Stair,2,10,1
4154,EDS_BL_Easy,1,11,1
4154,EDS_BL_Easy,2,11,1
4154,EDS,1,12,1
4154,EDS,2,12,0
4154,EDS,3,12,0
4154,RE,1,13,0
4154,RE,1,14,0
5091,IDS_BL_Easy,1,1,1
5091,IDS_BL_Easy,2,1,1
5091,IDS,1,2,1
5091,IDS,2,2,1
5091,IDS,3,2,1
5091,IDS,4,2,1
5091,IDS,5,2,1
5091,IDS,6,2,1
5091,RE,1,3,1
5091,Stair,1,4,1
5091,Stair,2,4,1
5091,Stair,3,4,1
5091,EDS_BL_Easy,1,5,1
5091,EDS_BL_Easy,2,5,1
5091,EDS,1,6,1
5091,EDS,2,6,0
5091,EDS,3,6,0
5091,EDS,4,6,0
5091,EDS,5,6,0
5091,EDS,6,6,0
5091,EDS,7,6,0
5091,EDS,8,6,0
5091,EDS,9,6,0
5091,IDS_BL_Easy,1,7,0
5091,IDS_BL_Easy,2,7,0
5091,IDS,1,8,0
5091,IDS,2,8,0
5091,RE,1,9,0
5091,Stair,1,10,0
5091,Stair,2,10,0
5091,Stair,3,10,0
5091,EDS_BL_Hard,1,11,0
5091,EDS_BL_Hard,2,11,0
5091,EDS,1,12,0
5091,EDS,2,12,1
5091,RE,1,13,1
5091,RE,1,14,1
5354,IDS_BL_Easy,1,1,0
5354,IDS_BL_Easy,2,1,0
5354,IDS,1,2,0
5354,IDS,2,2,0
5354,IDS,3,2,0
5354,IDS,4,2,0
5354,RE,1,3,0
5354,Stair,1,4,0
5354,Stair,2,4,0
5354,Stair,3,4,0
5354,EDS_BL_Hard,1,5,0
5354,EDS_BL_Hard,2,5,0
5354,EDS,1,6,0
5354,EDS,2,6,1
5354,EDS,3,6,1
5354,EDS,4,6,1
5354,EDS,5,6,1
5354,EDS,6,6,1
5354,IDS_BL_Easy,1,7,1
5354,IDS_BL_Easy,2,7,1
5354,IDS,1,8,1
5354,IDS,2,8,1
5354,IDS,3,8,1
5354,IDS,4,8,1
5354,IDS,5,8,1
5354,IDS,6,8,1
5354,IDS,7,8,1
5354,IDS,8,8,1
5354,RE,1,9,1
5354,Stair,1,10,1
5354,Stair,2,10,1
5354,Stair,3,10,1
5354,EDS_BL_Easy,1,11,1
5354,EDS_BL_Easy,2,11,1
5354,EDS,1,12,1
5354,EDS,2,12,0
5354,EDS,3,12,0
5354,EDS,4,12,0
5354,EDS,5,12,0
5354,EDS,6,12,0
6832,IDS_BL_Easy,1,1,0
6832,IDS_BL_Easy,2,1,0
6832,IDS,1,2,0
6832,IDS,2,2,0
6832,IDS,3,2,0
6832,IDS,4,2,0
6832,RE,1,3,0
6832,Stair,1,4,0
6832,Stair,2,4,0
6832,Stair,3,4,0
6832,EDS_BL_Hard,1,5,0
6832,EDS_BL_Hard,2,5,0
6832,EDS,1,6,0
6832,EDS,2,6,1
6832,EDS,3,6,1
6832,EDS,4,6,1
6832,EDS,5,6,1
6832,IDS_BL_Easy,1,7,1
6832,IDS_BL_Easy,2,7,1
6832,IDS,1,8,1
6832,IDS,2,8,1
6832,IDS,3,8,1
6832,IDS,4,8,1
6832,IDS,5,8,1
6832,RE,1,9,1
6832,Stair,1,10,1
