sound_n,volume_after_correction,volume
113,1,1
114,0.99,0.995
115,0.975,0.9875
116,0.96,0.98
117,0.95,0.975
118,0.94,0.97
119,0.925,0.9625
120,0.91,0.955
121,0.895,0.9475
122,0.88,0.94
123,0.86,0.93
124,0.85,0.925
125,0.84,0.92
126,0.83,0.915
127,0.82,0.91
128,0.81,0.905
129,0.8,0.9
130,0.79,0.895
131,0.78,0.89
132,0.77,0.885
133,0.76,0.88
134,0.76,0.88
135,0.75,0.875
136,0.745,0.8725
137,0.74,0.87
138,0.735,0.8675
139,0.73,0.865
140,0.725,0.8625
141,0.72,0.86
142,0.715,0.8575
143,0.71,0.855
144,0.705,0.8525
145,0.7,0.85
146,0.695,0.8475
147,0.69,0.845
148,0.685,0.8425
149,0.68,0.84
150,0.675,0.8375
151,0.675,0.8375
152,0.675,0.8375
153,0.675,0.8375
154,0.675,0.8375
155,0.675,0.8375
156,0.68,0.84
157,0.68,0.84
158,0.68,0.84
159,0.685,0.8425
160,0.685,0.8425
161,0.69,0.845
162,0.69,0.845
163,0.7,0.85
164,0.7,0.85
165,0.705,0.8525
166,0.705,0.8525
167,0.71,0.855
168,0.71,0.855
169,0.72,0.86
170,0.72,0.86
171,0.72,0.86
172,0.72,0.86
173,0.73,0.865
174,0.73,0.865
175,0.73,0.865
176,0.73,0.865
177,0.74,0.87
178,0.74,0.87
179,0.74,0.87
180,0.74,0.87
181,0.74,0.87
182,0.74,0.87
183,0.74,0.87
184,0.74,0.87
185,0.74,0.87
186,0.74,0.87
187,0.73,0.865
188,0.73,0.865
189,0.73,0.865
190,0.73,0.865
191,0.73,0.865
192,0.73,0.865
193,0.72,0.86
194,0.71,0.855
195,0.7,0.85
196,0.69,0.845
197,0.68,0.84
198,0.67,0.835
199,0.66,0.83
200,0.65,0.825
201,0.64,0.82
202,0.63,0.815
203,0.62,0.81
204,0.61,0.805
205,0.6,0.8
206,0.59,0.795
207,0.58,0.79
208,0.57,0.785
209,0.56,0.78
210,0.55,0.775
211,0.55,0.775
212,0.54,0.77
213,0.53,0.765
214,0.52,0.76
215,0.515,0.7575
216,0.51,0.755
217,0.5,0.75
218,0.49,0.745
219,0.48,0.74
220,0.47,0.735
221,0.46,0.73
222,0.45,0.725
223,0.445,0.7225
224,0.44,0.72
225,0.43,0.715
226,0.42,0.71
227,0.41,0.705
228,0.4,0.7
229,0.4,0.7
230,0.39,0.695
231,0.39,0.695
232,0.38,0.69
233,0.37,0.685
234,0.37,0.685
235,0.36,0.68
236,0.35,0.675
237,0.35,0.675
238,0.34,0.67
239,0.33,0.665
240,0.32,0.66
241,0.32,0.66
242,0.31,0.655
243,0.31,0.655
244,0.31,0.655
245,0.3,0.65
246,0.29,0.645
247,0.29,0.645
248,0.28,0.64
249,0.28,0.64
250,0.28,0.64
251,0.28,0.64
252,0.28,0.64
253,0.27,0.635
254,0.27,0.635
255,0.27,0.635
256,0.26,0.63
257,0.26,0.63
258,0.25,0.625
259,0.25,0.625
260,0.25,0.625
261,0.25,0.625
262,0.25,0.625
263,0.24,0.62
264,0.24,0.62
265,0.24,0.62
266,0.24,0.62
267,0.23,0.615
268,0.23,0.615
269,0.22,0.61
270,0.22,0.61
271,0.22,0.61
272,0.22,0.61
273,0.22,0.61
274,0.21,0.605
275,0.21,0.605
276,0.21,0.605
277,0.2,0.6
278,0.2,0.6
279,0.195,0.5975
280,0.195,0.5975
281,0.195,0.5975
282,0.19,0.595
283,0.19,0.595
284,0.18,0.59
285,0.18,0.59
286,0.18,0.59
287,0.18,0.59
288,0.18,0.59
289,0.18,0.59
290,0.17,0.585
291,0.17,0.585
292,0.17,0.585
293,0.17,0.585
294,0.17,0.585
295,0.17,0.585
296,0.17,0.585
297,0.17,0.585
298,0.17,0.585
299,0.17,0.585
300,0.17,0.585
301,0.17,0.585
302,0.17,0.585
303,0.17,0.585
304,0.17,0.585
305,0.17,0.585
306,0.17,0.585
307,0.17,0.585
308,0.17,0.585
309,0.17,0.585
310,0.17,0.585
311,0.17,0.585
312,0.17,0.585
313,0.17,0.585
314,0.17,0.585
315,0.17,0.585
316,0.17,0.585
317,0.17,0.585
318,0.17,0.585
